row,id,year,month,element,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12
1,MX000017004,2010,1,TMAX,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
2,MX000017004,2010,1,TMIN,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
3,MX000017004,2010,2,TMAX,"NA",273,241,"NA","NA","NA","NA","NA","NA","NA",297,"NA"
4,MX000017004,2010,2,TMIN,"NA",144,144,"NA","NA","NA","NA","NA","NA","NA",134,"NA"
5,MX000017004,2010,3,TMAX,"NA","NA","NA","NA",321,"NA","NA","NA","NA",345,"NA","NA"
6,MX000017004,2010,3,TMIN,"NA","NA","NA","NA",142,"NA","NA","NA","NA",168,"NA","NA"
7,MX000017004,2010,4,TMAX,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
8,MX000017004,2010,4,TMIN,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
9,MX000017004,2010,5,TMAX,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
10,MX000017004,2010,5,TMIN,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
11,MX000017004,2010,6,TMAX,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
12,MX000017004,2010,6,TMIN,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
13,MX000017004,2010,7,TMAX,"NA","NA",286,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
14,MX000017004,2010,7,TMIN,"NA","NA",175,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
15,MX000017004,2010,8,TMAX,"NA","NA","NA","NA",296,"NA","NA",290,"NA","NA","NA","NA"
16,MX000017004,2010,8,TMIN,"NA","NA","NA","NA",158,"NA","NA",173,"NA","NA","NA","NA"
17,MX000017004,2010,10,TMAX,"NA","NA","NA","NA",270,"NA",281,"NA","NA","NA","NA","NA"
18,MX000017004,2010,10,TMIN,"NA","NA","NA","NA",140,"NA",129,"NA","NA","NA","NA","NA"
19,MX000017004,2010,11,TMAX,"NA",313,"NA",272,263,"NA","NA","NA","NA","NA","NA","NA"
20,MX000017004,2010,11,TMIN,"NA",163,"NA",120,79,"NA","NA","NA","NA","NA","NA","NA"
